time (s)	input (Kbps)	output (Kbps)
0		122		427
1		59		224
2		62		271
3		60		243
4		61		188
5		59		233
6		60		217
7		62		183
8		62		238
9		59		229
10		60		230
11		61		292
12		57		241
13		62		210
14		61		237
15		61		261
16		59		207
17		59		254
18		57		258
19		123		478
20		62		271
21		90		240
22		69		246
23		61		245
24		63		229
25		61		260
26		61		308
27		61		250
28		62		302
29		63		260
30		61		206
31		61		237
32		64		258
33		58		207
34		63		254
35		60		225
36		58		225
37		62		288
38		62		475
39		122		267
40		59		249
41		61		221
42		62		290
43		61		249
44		63		210
45		61		253
46		58		244
47		62		231
48		62		280
49		63		264
50		60		211
51		61		259
52		61		242
53		61		249
54		58		246
55		63		292
56		62		260
57		59		283
58		125		501
59		2842		276
60		92841		157
61		98649		214
62		98656		191
63		98660		23
64		98652		85
65		98655		193
66		98660		23
67		98649		16
68		98657		11
69		98645		20
70		98658		4
71		98661		6
72		98658		9
73		98660		4
74		98655		19
75		98659		4
76		98657		7
77		98664		4
78		98661		8
79		98656		4
80		98655		7
81		98665		6
82		98653		7
83		197315		23
84		98664		4
85		98661		7
86		98661		4
87		98656		7
88		98657		4
89		98653		21
90		98665		4
91		98658		7
92		98662		4
93		98654		7
94		98659		4
95		98657		7
96		98664		4
97		98659		7
98		98654		269
99		98662		16
100		98663		13
101		98656		16
102		98653		35
103		98665		20
104		98657		8
105		98665		115
106		98651		125
107		98667		193
108		98651		16
109		197319		23
110		98669		91
111		98655		103
112		98656		19
113		98658		67
114		98660		17
115		98661		7
116		98664		102
117		98649		6
118		98671		17
119		98651		6
120		98662		4
121		98665		18
122		98656		4
123		98663		6
124		98660		4
125		98656		6
126		98654		4
127		98660		16
128		98663		7
129		98660		4
130		98659		7
131		98657		16
132		197315		4
133		98659		11
134		98663		4
135		98660		16
136		98657		4
137		98654		17
138		98656		4
139		98662		19
140		98658		4
141		98663		7
142		98660		4
143		98657		7
144		98654		4
145		98664		38
146		98659		6
147		98657		18
148		98655		11
149		98660		7
150		98657		4
151		98657		4
152		98671		157
153		197312		5
154		98661		40
155		98660		18
156		98653		57
157		98655		130
158		98666		17
159		98644		79
160		98661		28
161		98653		28
162		98659		104
163		98660		16
164		98660		11
165		98661		4
166		98653		19
167		98668		4
168		98651		11
169		98657		4
170		98661		29
171		98665		4
172		98652		7
173		98663		4
174		98653		7
175		108167		89
176		13		15
177		16		13
178		16		22
179		154		4930
180		62		250
181		60		207
182		58		286
183		62		272
184		61		244
185		55		253
186		62		243
187		62		226
188		56		225
189		62		224
190		59		242
191		61		277
192		60		269
193		59		566
194		123		253
195		60		232
196		64		281
197		59		243
198		61		208
199		64		259
200		61		292
201		59		255
202		62		315
203		54		274
204		61		228
205		63		267
206		61		251
207		56		235
208		62		270
209		59		256
210		58		226
211		122		537
212		89		287
213		71		278
214		61		253
215		61		241
216		65		288
217		61		249
218		61		201
219		62		230
220		59		250
221		60		222
222		57		275
223		61		279
224		59		258
225		60		286
226		60		236
227		61		220
228		58		261
229		63		263
230		64		239
231		56		272
232		129		516
233		64		313
234		61		267
235		64		255
236		59		263
237		62		296
238		62		250
239		58		271
